Marine Scotland Site ID,Date Registered,Site Name,National Grid Reference,Local Authority,Producing in Last 3 Years,Site Address 1,Site Address 2,Site Address 3,Site Post Code,Site Contact Number,Aquaculture Type,Water Type,Health Surveillance,Easting,Northing,MS Management Area,Region,Operator,Species
FS1023,20-Sep-01,Bring Head,HY273022,Orkney,Yes,Scottish Sea Farms,5 Ferry Terminal Building,The Pier,KW15 1HU,,Fish,Seawater,Medium,327300,1002200,8c - Scapa Flow,Orkney,Scottish Sea Farms Ltd,"Lumpsucker, N/A, Atlantic Salmon, Wrasse"
FS0919,16-Oct-98,Broch,NC550097,Highland,No,N/A,,,,,Fish,Freshwater,,255000,909700,,Highland,Scottish Sea Farms Ltd,"Atlantic Salmon, N/A"
SS0596,15-Mar-00,Browland,HU264507,Shetland,Yes,Vadlure,Walls,,ZE2 9PF,,Shellfish,Seawater,Medium,426400,1150700,"3b - Gruting, Vaila, Walls",Shetland,Shetland Mussels Ltd,"N/A, Common mussel"
FS0230,19-Mar-92,Brunaness,HU384365,Shetland,No,N/A,,,,,Fish,Seawater,Medium,438400,1136500,3a - SW Shetland mainland,Shetland,Scottish Sea Farms Ltd,"Wrasse, Atlantic Salmon, Lumpsucker, N/A"
FS0970,08-Oct-99,Buckieburn Freshwater Research Unit,NS751853,Stirling,No,N/A,,,,,Fish,Freshwater,Medium,275100,685300,Not in a management area,Central,University of Stirling,"European Perch, Atlantic Salmon, Brown Trout and sea trout, N/A, Rainbow Trout"
SS0747,12-Sep-05,Buckle Point,NB200325,Western Isles,No,West Earshader,Bernera,,HS2 9LP,,Shellfish,Seawater,Medium,120000,932500,6a - Loch Roag,Western Isles,Loch Fyne Oysters Ltd,"N/A, Common mussel"
SS0781,18-May-07,Budda Scord,HU341636,Shetland,Yes,Vementry,"Aith, Bixter",,ZE2 9ND,,Shellfish,Seawater,Medium,434100,1163600,4a - South St Magnus Bay,Shetland,Vementry Aquaculture,"N/A, Common mussel"
SS0804,10-Dec-08,Buness,HP632087,Shetland,Yes,Maundeville,"Uyeasound, Unst",,ZE2 9DL,,Shellfish,Seawater,Low,463200,1208700,1a - E Unst,Shetland,Unst Shellfish,"Common mussel, N/A"
SS0882,16-Jul-14,Bunyasand,HU523909,Shetland,Yes,Sparl,Brae,,ZE2 9QJ,,Shellfish,Seawater,Low,452300,1190900,"1b - S Unst, E Yell, Fetlar",Shetland,Seafield Mussels Ltd,"Common mussel, N/A"
SS0700,26-Sep-03,Burra Holm,HU384456,Shetland,Yes,Sained,"Eastvoe, Scalloway",,ZE1 0US,,Shellfish,Seawater,Medium,438400,1145600,3a - SW Shetland mainland,Shetland,Eastvoe Shellfish,"N/A, Common mussel"
